   text	   data	    bss	    dec	    hex	filename
    356	      0	      0	    356	    164	fsl_clock_manager.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    128	      0	      0	    128	     80	fsl_rcm_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    180	      0	     16	    196	     c4	fsl_pit_irq.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    830	      4	      0	    834	    342	pwmout_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    352	      0	      0	    352	    160	fsl_pdb_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    768	      4	    640	   1412	    584	gpio_irq_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    904	      0	      0	    904	    388	fsl_enet_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     28	      0	      0	     28	     1c	fsl_port_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    214	      0	      0	    214	     d6	fsl_adc_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
      8	     20	      0	     28	     1c	fsl_enet_irq.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     57	      0	      0	     57	     39	sleep.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
      8	      0	      0	      8	      8	fsl_lpuart_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1252	      0	      0	   1252	    4e4	fsl_dspi_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    722	     16	      0	    738	    2e2	lp_ticker.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    480	      8	      0	    488	    1e8	fsl_pit_driver.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    494	      0	      0	    494	    1ee	fsl_i2c_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
  32507	     60	    676	  33243	   81db	(TOTALS)
